t,replicas_ready,replicas_desired,hpa_current,hpa_target
2026-05-12T06:25:42.238Z,5,5,24417m,100
2026-05-12T06:25:47.331Z,5,5,24417m,100
2026-05-12T06:25:52.440Z,5,5,15858m,100
2026-05-12T06:25:57.554Z,5,5,15858m,100
2026-05-12T06:26:02.639Z,5,5,15858m,100
2026-05-12T06:26:07.733Z,4,4,10084m,100
2026-05-12T06:26:12.838Z,4,4,10084m,100
2026-05-12T06:26:17.952Z,4,4,10084m,100
2026-05-12T06:26:23.065Z,4,4,3131m,100
2026-05-12T06:26:28.183Z,4,4,3131m,100
2026-05-12T06:26:33.291Z,4,4,3131m,100
2026-05-12T06:26:38.412Z,3,3,950m,100
2026-05-12T06:26:43.498Z,3,3,950m,100
2026-05-12T06:26:48.592Z,3,3,950m,100
2026-05-12T06:26:53.684Z,3,3,415m,100
2026-05-12T06:26:58.796Z,3,3,415m,100
2026-05-12T06:27:03.905Z,3,3,415m,100
2026-05-12T06:27:09.033Z,3,3,356m,100
2026-05-12T06:27:14.133Z,3,3,356m,100
